"Year and week of notification"	"Age stratification: 5 year intervals"
""	"A00..04"	"A05..09"	"A10..14"	"A15..19"	"A20..24"	"A25..29"	"A30..34"	"A35..39"	"A40..44"	"A45..49"	"A50..54"	"A55..59"	"A60..64"	"A65..69"	"A70..74"	"A75..79"	"A80+"	"Unknown"
"2013-w48"	"424"	"61"	"28"	"30"	"33"	"38"	"39"	"45"	"29"	"30"	"31"	"36"	"34"	"35"	"50"	"61"	"90"	"1"
"2013-w49"	"393"	"56"	"28"	"25"	"26"	"44"	"40"	"35"	"21"	"34"	"39"	"47"	"41"	"33"	"71"	"59"	"112"	""
"2013-w50"	"498"	"62"	"31"	"24"	"37"	"29"	"39"	"36"	"34"	"34"	"37"	"45"	"44"	"38"	"80"	"92"	"140"	""
"2013-w51"	"492"	"67"	"46"	"32"	"45"	"36"	"46"	"33"	"31"	"45"	"45"	"51"	"61"	"53"	"82"	"96"	"201"	""
"2013-w52"	"171"	"19"	"10"	"7"	"15"	"14"	"20"	"15"	"16"	"21"	"29"	"25"	"34"	"23"	"56"	"65"	"119"	"1"
"2014-w01"	"180"	"30"	"16"	"21"	"32"	"37"	"29"	"32"	"16"	"15"	"31"	"42"	"48"	"48"	"83"	"100"	"172"	"3"
"2014-w02"	"214"	"24"	"16"	"19"	"39"	"32"	"30"	"39"	"36"	"46"	"50"	"51"	"57"	"53"	"102"	"132"	"222"	""
"2014-w03"	"266"	"30"	"28"	"18"	"26"	"29"	"30"	"27"	"26"	"33"	"42"	"45"	"50"	"38"	"71"	"97"	"193"	""
"2014-w04"	"321"	"39"	"25"	"26"	"36"	"34"	"38"	"32"	"30"	"25"	"40"	"51"	"57"	"50"	"94"	"103"	"214"	""
"2014-w05"	"358"	"42"	"25"	"25"	"35"	"37"	"42"	"30"	"32"	"47"	"35"	"47"	"59"	"52"	"98"	"121"	"211"	""
"2014-w06"	"318"	"62"	"23"	"25"	"34"	"37"	"43"	"31"	"34"	"51"	"56"	"50"	"69"	"55"	"135"	"169"	"246"	""
"2014-w07"	"378"	"52"	"25"	"25"	"48"	"49"	"42"	"38"	"43"	"53"	"47"	"70"	"71"	"64"	"97"	"117"	"254"	""
"2014-w08"	"353"	"46"	"33"	"28"	"31"	"36"	"41"	"27"	"24"	"48"	"55"	"67"	"67"	"69"	"98"	"120"	"241"	"1"
"2014-w09"	"283"	"32"	"20"	"16"	"31"	"42"	"42"	"27"	"37"	"31"	"47"	"45"	"51"	"45"	"98"	"110"	"229"	""
"2014-w10"	"279"	"30"	"21"	"22"	"30"	"22"	"27"	"31"	"25"	"30"	"35"	"39"	"47"	"49"	"78"	"122"	"178"	""
"2014-w11"	"309"	"47"	"27"	"24"	"32"	"35"	"44"	"31"	"24"	"46"	"37"	"42"	"45"	"48"	"104"	"116"	"169"	"1"
"2014-w12"	"288"	"56"	"27"	"28"	"34"	"34"	"34"	"35"	"26"	"47"	"51"	"38"	"48"	"30"	"84"	"108"	"173"	"3"
"2014-w13"	"268"	"45"	"35"	"28"	"20"	"21"	"32"	"24"	"22"	"33"	"35"	"34"	"45"	"36"	"62"	"69"	"143"	""
"2014-w14"	"229"	"25"	"17"	"16"	"23"	"31"	"41"	"25"	"27"	"29"	"33"	"32"	"41"	"32"	"57"	"63"	"123"	"7"
"2014-w15"	"211"	"35"	"20"	"21"	"24"	"21"	"25"	"26"	"19"	"30"	"30"	"31"	"30"	"33"	"59"	"56"	"113"	"1"
"2014-w16"	"134"	"21"	"14"	"11"	"14"	"14"	"15"	"16"	"18"	"18"	"16"	"23"	"25"	"18"	"34"	"38"	"75"	"1"
"2014-w17"	"120"	"23"	"9"	"9"	"15"	"20"	"21"	"14"	"10"	"15"	"19"	"20"	"26"	"29"	"29"	"47"	"96"	""
"2014-w18"	"83"	"14"	"5"	"10"	"15"	"14"	"15"	"5"	"9"	"16"	"15"	"16"	"17"	"6"	"19"	"20"	"45"	""
"2014-w19"	"118"	"12"	"9"	"13"	"5"	"12"	"19"	"5"	"13"	"14"	"15"	"19"	"12"	"16"	"26"	"32"	"47"	""
"2014-w20"	"106"	"18"	"16"	"7"	"7"	"20"	"5"	"14"	"9"	"18"	"17"	"13"	"13"	"8"	"16"	"21"	"31"	""
"2014-w21"	"89"	"12"	"10"	"5"	"6"	"8"	"20"	"7"	"8"	"15"	"6"	"8"	"12"	"20"	"15"	"23"	"36"	""
"2014-w22"	"55"	"15"	"6"	"5"	"6"	"5"	"11"	"7"	"8"	"8"	"5"	"7"	"7"	"6"	"14"	"14"	"19"	""
"2014-w23"	"61"	"14"	"6"	"8"	"13"	"9"	"11"	"5"	"4"	"5"	"4"	"8"	"9"	"6"	"12"	"8"	"33"	"1"
"2014-w24"	"52"	"14"	"7"	"3"	"4"	"9"	"8"	"5"	"4"	"6"	"10"	"5"	"9"	"12"	"13"	"9"	"26"	""
"2014-w25"	"58"	"6"	"10"	"7"	"11"	"10"	"12"	"7"	"4"	"13"	"5"	"9"	"8"	"3"	"11"	"9"	"7"	""
"2014-w26"	"52"	"12"	"5"	"8"	"8"	"12"	"15"	"9"	"7"	"5"	"9"	"7"	"10"	"6"	"3"	"10"	"10"	""
"2014-w27"	"62"	"16"	"15"	"5"	"1"	"13"	"11"	"7"	"7"	"9"	"7"	"9"	"7"	"12"	"14"	"16"	"15"	"1"
"2014-w28"	"62"	"17"	"11"	"4"	"6"	"7"	"8"	"5"	"4"	"9"	"7"	"8"	"7"	"5"	"3"	"20"	"20"	""
"2014-w29"	"60"	"13"	"4"	"4"	"10"	"11"	"12"	"7"	"5"	"7"	"11"	"11"	"4"	"8"	"9"	"9"	"10"	""
"2014-w30"	"32"	"16"	"8"	"4"	"11"	"13"	"10"	"9"	"1"	"12"	"8"	"6"	"5"	"8"	"7"	"2"	"5"	""
"2014-w31"	"47"	"15"	"8"	"7"	"9"	"7"	"4"	"8"	"3"	"5"	"10"	"7"	"6"	"7"	"6"	"9"	"12"	""
"2014-w32"	"42"	"8"	"12"	"8"	"10"	"8"	"10"	"9"	"8"	"7"	"4"	"10"	"8"	"4"	"5"	"9"	"10"	""
"2014-w33"	"44"	"16"	"5"	"7"	"9"	"12"	"10"	"11"	"4"	"5"	"6"	"4"	"5"	"4"	"4"	"5"	"13"	""
"2014-w34"	"69"	"15"	"9"	"7"	"11"	"10"	"12"	"6"	"6"	"10"	"5"	"6"	"5"	"4"	"5"	"13"	"17"	""
"2014-w35"	"67"	"12"	"6"	"9"	"26"	"5"	"12"	"7"	"8"	"5"	"12"	"8"	"9"	"14"	"14"	"17"	"22"	"1"
"2014-w36"	"80"	"16"	"14"	"12"	"9"	"18"	"16"	"4"	"8"	"7"	"11"	"5"	"13"	"10"	"5"	"14"	"14"	""
"2014-w37"	"99"	"12"	"11"	"18"	"18"	"14"	"17"	"15"	"9"	"13"	"14"	"17"	"10"	"9"	"8"	"12"	"15"	""
"2014-w38"	"103"	"18"	"14"	"6"	"9"	"15"	"18"	"11"	"7"	"11"	"7"	"5"	"7"	"5"	"15"	"9"	"11"	""
"2014-w39"	"80"	"15"	"11"	"9"	"9"	"19"	"16"	"10"	"4"	"9"	"10"	"6"	"6"	"5"	"10"	"3"	"16"	""
"2014-w40"	"76"	"12"	"11"	"6"	"12"	"12"	"11"	"10"	"5"	"12"	"13"	"11"	"10"	"5"	"11"	"13"	"13"	""
"2014-w41"	"122"	"18"	"5"	"6"	"14"	"13"	"21"	"15"	"10"	"10"	"10"	"13"	"9"	"16"	"13"	"13"	"24"	""
"2014-w42"	"158"	"17"	"10"	"4"	"10"	"15"	"16"	"8"	"17"	"7"	"14"	"11"	"13"	"5"	"15"	"12"	"16"	""
"2014-w43"	"149"	"11"	"7"	"11"	"17"	"19"	"16"	"8"	"12"	"16"	"17"	"15"	"14"	"8"	"15"	"11"	"14"	""
"2014-w44"	"180"	"11"	"6"	"12"	"11"	"21"	"14"	"11"	"14"	"14"	"21"	"17"	"9"	"9"	"18"	"19"	"32"	""
"2014-w45"	"264"	"18"	"18"	"16"	"14"	"15"	"23"	"16"	"18"	"17"	"27"	"13"	"17"	"10"	"26"	"24"	"39"	""
"2014-w46"	"313"	"32"	"22"	"16"	"18"	"37"	"34"	"19"	"11"	"16"	"21"	"25"	"16"	"7"	"29"	"39"	"51"	""
"2014-w47"	"375"	"42"	"19"	"17"	"27"	"29"	"27"	"19"	"30"	"27"	"39"	"30"	"24"	"19"	"24"	"35"	"86"	""
"2014-w48"	"436"	"47"	"16"	"29"	"28"	"26"	"39"	"20"	"34"	"41"	"21"	"35"	"32"	"28"	"45"	"59"	"98"	""
"2014-w49"	"490"	"50"	"31"	"23"	"36"	"44"	"40"	"33"	"31"	"40"	"51"	"54"	"57"	"33"	"52"	"73"	"109"	""
"2014-w50"	"577"	"70"	"29"	"31"	"44"	"51"	"65"	"50"	"39"	"58"	"57"	"64"	"53"	"55"	"80"	"112"	"159"	"1"
"2014-w51"	"596"	"74"	"33"	"37"	"41"	"60"	"68"	"45"	"43"	"61"	"83"	"72"	"70"	"60"	"91"	"143"	"228"	"5"
"2014-w52"	"272"	"36"	"23"	"12"	"17"	"23"	"34"	"20"	"28"	"23"	"27"	"29"	"30"	"37"	"33"	"67"	"139"	""
"2015-w01"	"219"	"21"	"11"	"12"	"24"	"29"	"29"	"24"	"24"	"23"	"30"	"47"	"44"	"39"	"63"	"83"	"168"	""
"2015-w02"	"259"	"30"	"13"	"34"	"47"	"42"	"39"	"35"	"37"	"40"	"52"	"58"	"72"	"65"	"109"	"175"	"324"	""
"2015-w03"	"401"	"41"	"30"	"27"	"33"	"38"	"38"	"35"	"42"	"54"	"59"	"69"	"64"	"65"	"109"	"148"	"277"	"1"
"2015-w04"	"474"	"62"	"33"	"32"	"45"	"38"	"55"	"43"	"41"	"50"	"69"	"77"	"75"	"73"	"118"	"151"	"254"	"7"
"2015-w05"	"418"	"55"	"26"	"33"	"46"	"46"	"53"	"40"	"51"	"67"	"79"	"86"	"80"	"86"	"125"	"190"	"365"	"1"
"2015-w06"	"447"	"41"	"23"	"43"	"50"	"55"	"62"	"37"	"51"	"58"	"87"	"80"	"94"	"63"	"116"	"162"	"297"	""
"2015-w07"	"386"	"55"	"21"	"28"	"57"	"47"	"50"	"43"	"39"	"55"	"68"	"71"	"89"	"75"	"119"	"170"	"312"	"2"
"2015-w08"	"401"	"56"	"28"	"20"	"35"	"48"	"39"	"38"	"35"	"49"	"78"	"66"	"73"	"79"	"131"	"171"	"326"	""
"2015-w09"	"367"	"55"	"29"	"33"	"39"	"34"	"34"	"44"	"48"	"47"	"66"	"80"	"79"	"82"	"118"	"186"	"304"	""
"2015-w10"	"352"	"46"	"29"	"20"	"25"	"48"	"49"	"40"	"41"	"53"	"78"	"66"	"67"	"66"	"109"	"139"	"304"	"1"
"2015-w11"	"348"	"49"	"28"	"17"	"28"	"42"	"29"	"53"	"49"	"46"	"50"	"50"	"62"	"68"	"106"	"138"	"240"	"2"
"2015-w12"	"340"	"41"	"24"	"28"	"26"	"49"	"41"	"26"	"38"	"35"	"52"	"53"	"61"	"49"	"94"	"141"	"244"	"4"
"2015-w13"	"263"	"39"	"27"	"27"	"33"	"24"	"35"	"31"	"21"	"40"	"52"	"46"	"57"	"52"	"77"	"126"	"201"	""
"2015-w14"	"234"	"41"	"15"	"13"	"24"	"33"	"29"	"25"	"30"	"35"	"39"	"36"	"41"	"50"	"70"	"112"	"192"	""
"2015-w15"	"169"	"21"	"15"	"9"	"28"	"33"	"23"	"24"	"21"	"13"	"35"	"53"	"47"	"38"	"79"	"123"	"186"	"4"
"2015-w16"	"183"	"25"	"17"	"26"	"31"	"25"	"22"	"25"	"33"	"40"	"57"	"45"	"55"	"48"	"71"	"107"	"199"	""
"2015-w17"	"189"	"29"	"26"	"22"	"23"	"29"	"27"	"32"	"21"	"43"	"39"	"50"	"44"	"46"	"75"	"99"	"175"	""
"2015-w18"	"164"	"23"	"15"	"13"	"19"	"20"	"24"	"25"	"18"	"22"	"21"	"27"	"22"	"29"	"63"	"82"	"111"	""
"2015-w19"	"160"	"30"	"24"	"10"	"24"	"16"	"22"	"28"	"18"	"29"	"32"	"39"	"41"	"32"	"52"	"66"	"147"	"2"
"2015-w20"	"104"	"24"	"15"	"12"	"10"	"7"	"14"	"9"	"15"	"21"	"19"	"14"	"18"	"14"	"34"	"48"	"50"	""
"2015-w21"	"95"	"15"	"15"	"10"	"17"	"15"	"15"	"16"	"11"	"11"	"32"	"18"	"28"	"20"	"25"	"38"	"64"	""
"2015-w22"	"75"	"18"	"10"	"8"	"6"	"15"	"19"	"11"	"11"	"12"	"20"	"20"	"12"	"15"	"23"	"40"	"55"	""
"2015-w23"	"71"	"22"	"10"	"6"	"15"	"15"	"17"	"10"	"11"	"16"	"11"	"15"	"19"	"19"	"22"	"24"	"42"	""
"2015-w24"	"72"	"19"	"12"	"14"	"10"	"17"	"13"	"17"	"11"	"14"	"24"	"17"	"11"	"13"	"18"	"16"	"47"	""
"2015-w25"	"95"	"30"	"15"	"6"	"19"	"17"	"13"	"8"	"12"	"18"	"7"	"13"	"16"	"16"	"21"	"21"	"30"	"2"
"2015-w26"	"87"	"20"	"15"	"14"	"14"	"22"	"9"	"6"	"16"	"16"	"10"	"25"	"13"	"15"	"20"	"21"	"36"	""
"2015-w27"	"70"	"21"	"15"	"5"	"7"	"16"	"11"	"8"	"6"	"11"	"14"	"12"	"14"	"10"	"16"	"21"	"31"	""
"2015-w28"	"83"	"21"	"20"	"14"	"13"	"6"	"16"	"16"	"4"	"4"	"14"	"15"	"16"	"16"	"13"	"14"	"23"	""
"2015-w29"	"83"	"24"	"13"	"12"	"13"	"17"	"19"	"5"	"9"	"12"	"11"	"18"	"15"	"6"	"10"	"8"	"18"	""
"2015-w30"	"74"	"23"	"14"	"12"	"10"	"19"	"24"	"12"	"9"	"9"	"15"	"9"	"12"	"9"	"13"	"9"	"12"	""
"2015-w31"	"53"	"13"	"10"	"9"	"9"	"18"	"25"	"8"	"6"	"9"	"14"	"6"	"10"	"10"	"5"	"16"	"21"	""
"2015-w32"	"64"	"14"	"11"	"11"	"7"	"15"	"14"	"13"	"3"	"9"	"11"	"9"	"12"	"2"	"4"	"17"	"18"	""
"2015-w33"	"60"	"20"	"24"	"19"	"13"	"12"	"13"	"10"	"6"	"13"	"9"	"8"	"13"	"12"	"10"	"12"	"15"	"1"
"2015-w34"	"62"	"26"	"10"	"9"	"14"	"16"	"18"	"10"	"11"	"8"	"7"	"11"	"7"	"12"	"12"	"6"	"18"	""
"2015-w35"	"63"	"14"	"9"	"14"	"14"	"13"	"19"	"9"	"15"	"14"	"16"	"12"	"13"	"8"	"10"	"15"	"16"	""
"2015-w36"	"66"	"13"	"11"	"9"	"13"	"21"	"16"	"20"	"15"	"15"	"12"	"13"	"13"	"12"	"10"	"18"	"25"	""
"2015-w37"	"105"	"20"	"12"	"10"	"15"	"14"	"20"	"14"	"8"	"6"	"9"	"12"	"12"	"12"	"11"	"11"	"25"	"1"
"2015-w38"	"122"	"14"	"12"	"12"	"10"	"15"	"19"	"7"	"17"	"11"	"22"	"11"	"12"	"14"	"17"	"13"	"30"	"1"
"2015-w39"	"122"	"17"	"13"	"13"	"14"	"25"	"21"	"14"	"10"	"13"	"19"	"15"	"10"	"13"	"5"	"19"	"25"	"1"
"2015-w40"	"117"	"12"	"15"	"16"	"10"	"13"	"19"	"18"	"13"	"20"	"13"	"15"	"14"	"11"	"18"	"12"	"31"	""
"2015-w41"	"141"	"20"	"10"	"3"	"15"	"15"	"20"	"12"	"10"	"5"	"18"	"14"	"19"	"8"	"15"	"18"	"32"	""
"2015-w42"	"151"	"25"	"7"	"11"	"13"	"33"	"19"	"14"	"10"	"6"	"14"	"14"	"7"	"12"	"14"	"23"	"27"	""
